alumno,frase_01,frase_02,frase_03,frase_04,frase_05,frase_06,frase_07,frase_08,frase_09,frase_10,frase_11,frase_12,frase_13,frase_14,frase_15,frase_16,frase_17,frase_18,frase_19,frase_20
1,duermo,son muy chéveres,muy tranquila y extrovertida,"mi personalidad, mis ojos y cejas",,es muy divertido,algo que necesitamos principalmente,son algo importante en mi vida,al principio soy tímida pero luego entro en confianza,no le hablo a nadie o cambio de humor,me bajonea,"le cuento a mi grupo, para que me apoye o al menos despejarme",no saber que estudiaré o mi futuro,"duermo, veo videos",no sé,que todo lo que tengo en mente me salga bien,asusta,,,los valores que me enseñaron
2,hago mis cosas y responsabilidades,son muy juguetones,muy extrovertida cuando tengo confianza,"mi personalidad, mi forma de querer y mis ojos","digo 'uy, qué guapa' :)",es el lugar donde más me divierto y tengo recuerdos muy bonitos,algo importante y fundamental en la vida,son importantes para mí,soy callada pero después me desenvuelvo,se me nota en la cara,no quiero hablar con nadie,le cuento a mi mamá o a mis amigos para que me aconsejen,que no se me de lo que tengo planeado para mi futuro,veo tiktoks o veo series románticas,estaré trabajando y viajando,"tener mi propio restaurante y muchos negocios diferentes, viajando por el mundo",preocupa,,,lealtad
3,ayudo a mis padres :),y yo nos llevamos bien,una chica alegre y risueña,mis ojos y mi personalidad,me siento bien,es un lugar donde aprendo y también soy feliz conviviendo con mis amigos :),importante,y yo la pasamos bien juntos. Los quiero bastante,si tengo confianza les hablo normal y estoy tranquila,lloro y me pongo a pensar,me siento mal un rato y después trato de animarme,sobrepienso,terminar sola en la vida y no lograr nada,me pierdo en mis pensamientos mientras escucho música,espero cumplir mis logros personales y ser mejor persona,"aún no tengo un gran sueño, sino será ser feliz",da miedo,ser tan sensible,a veces no tengo respuesta porque sigo descubriéndome,mi forma de ser con los demás y mi personalidad
4,ayudo en los que haceres,son los mejores,extrovertido,mi forma positiva de ver las cosas,digo que guapo soy,es mi segundo hogar,importante para el futuro,son graciosos,soy tímido,respiro,duermo,me quedo callado,las alturas,juego PlayStation,terminaré mi carrera,ser el orgullo de mi familia,emociona,sería dejar de procrastinar,busco que mejorar,mi personalidad
5,hago las tareas del hogar,son la más bonita compañía que podría desear,un buen muchacho,mis ojos,veo a alguien que día a día busca superarse,es muy importante,algo vital,son muy divertidos,soy muy gracioso y amigable,prefiero alejarme y meditar,me tomo el tiempo desahogarme sin reproches,trato de solucionarlo,que mi mamá ya no esté a mi lado :(,me siento libre y relajado,me veo esforzándome por lograr terminar mi carrera,poder enorgullecer a mis papás,espera :),mi sonrisa,me doy cuenta de que soy un [ilegible],mi personalidad
6,descanso,pelean,jugador,mi cuerpo,me veo,es [ilegible],medio [ilegible],son aburridos [ilegible],,duermo,le doy la buena vida,hago que me me [ilegible],postearlo,pienso en la mujer que tanto amo,quiero jugar en un buen equipo y ellos ser un gran jugador de fútbol o seguir al lado de la [ilegible] y ayudar a mi mamá,proteger que tanto amo. Jugar en 11a y representar a mi país,da curiosidad,sería mi mente,me inspiro,ser un gran hombre
7,ayudo y descanso,"están bien, los aprecio",yo mismo,mi persistencia y valentía,soy hermoso,divertido,"realmente divertido, pero define nuestro futuro",están bien por suerte y los aprecio,no me incluyo mucho y me aburro,quiero pegarle a cualquiera pero no es correcto,bajo mi autoestima,sobrepienso,ser feo,juego videojuegos y escucho música,seré medianamente económicamente bien si otros lo permite,tener una economía buena al lado de mi familia,nada... motiva y preocupa,mi enojo,pienso en lo que no me gusta de mí y lo mejoro,mi valentía y persistencia
8,paso tiempo con mi familia,me aman,una persona alegre y sensible,mis ojos y mis labios,me siento feliz,es divertido,necesario,son divertidos,hablo poco,me alejo a pensar y lloro,pienso y escucho música,sobrepienso,acabar el colegio,escucho música,me veo con mi título universitario,trabajar de algo que me haga feliz,asusta,ser tan sensible,busco la manera de mejorar,una persona con ganas de seguir mejorando
9,ordeno las cosas que estén fuera de su lugar,Mi hermano es el mejor,Grandioso,Mi personalidad,Digo que soy guapo,Es mi segunda casa,Interesante,Son chéveres,Intento acoplarme,No quiero hablar con nadie,Solo quiero distraerme,Intento solucionar lo que me preocupa,No cumplir mis sueños,Escucho música o veo películas,Quiero cumplir mis metas,Poner orgullosos a mis padres,Preocupa,Mis defectos,Pienso lo mejor de mí,Mi forma de ser
10,Soy hermana mayor,Son traviesos,Inteligente,Mis ojos y mi bondad,Sonrío,es felicidad y me dan muchas emociones,Importante,Son divertidos,Soy muy sociable,me pongo muy mal,lloro,me duele el pecho y estoy ansiosa,ser fracasada y perder a mis padres,quiero estar en la casa de…,me veo estudiando arquitectura,"tener dinero, una familia, comodidades y ser feliz",tiene ansiosa,sería que dejé de confiar tanto en las personas,me pongo feliz,sentirme bien conmigo misma
11,duermo,son los mejores,alegre,mis ojos,veo mi reflejo,es lo mejor,bueno,son chéveres,me la paso bien,me da igual todo,paso en silencio,lo resuelvo,que me falte mi familia,duermo,tendré una vida exitosa,ser futbolista,intriga,nada,me enorgullece,mi personalidad
12,ayudo con la casa,Le ayudo a lavar los platos,yo mismo [ilegible],jugar y correr la calle,soy guapo,es bonito,yo quiero ser chef,[ilegible],hablamos cosas del juego,juego y rompo la mesa,veo tele o película,,que me roba mi PC,juego la PC y veo televisión,,tener el PS5,yo trabajo,limpio mi cuando [ilegible],,
13,"hago mi tarea o mis quehaceres básicos, a veces ayudando a mi madre",trabajan mucho y a veces se van a otros lugares,una persona en una sociedad dentro de un país llamado 'Perú'; un ser vivo con capacidad de pensar,que puedo llegar a ser creativo y responsable,pienso que debo afeitarme o esquilar,es una obligación para todos con la oportunidad de brindar más oportunidades,"difícil, pero da buenos resultados si los manejas con la mente fría y sin tantas dudas","son graciosos e ingeniosos, compartimos intereses y enseñando",me mantengo al margen hasta que me hagan primero una pregunta para iniciar una charla,"lo autocontrolo o explico cuando debo, o busco otras maneras de reflejarme",lo mismo que cuando me enojo,intento analizarlo de forma amplia para entenderlo a fondo,digno de entender [ilegible],"me entretengo conmigo mismo o veo videos o algo, dejo mi mente flotar","Tendré 21 XD, me veo como alguien más humilde pero temporeras en lo máximo",tener un poema o [ilegible],causa expectativa o curiosidad imaginando un poder [ilegible],sería mi pubertad y ser honesto de lo que pienso,"me llega la duda de por aquí, algún puede ser importante y luego de reordenarlo todo lo acepto, tengo dudas o preguntas sobre mí",mi personalidad
14,ayudo y duermo mucho,son muy traviesos y divertidos,dormilona,mi cabello,tengo cara de amargada,es algo aburrido,interesante,son graciosos,me siento rara,me lo guardo,veo dibujos,me pongo pensativa,perder a alguien muy importante para mí,veo youtube,cumplo 21,ver a mis hermanos conseguir sus logros,tiene pensando,no cambiaría nada,no pienso nada :v,mi manera de ser
15,hago caso a mi mamá y realizo mis responsabilidades,son divertidos,una buena persona,mi manera de ver desde otras perspectivas las cosas,"siento que a pesar de los obstáculos, puedo salir adelante",es una ayuda en la parte de construir mi futuro académicamente,bueno para enseñarnos a ser personas que también el mundo para bien,son personas que me apoyan y están para llevarme por un buen camino,les hablo y comparto ideas para establecer una conversación,"me la agarro con todos, pero estoy empezando a manejar y controlar aquellas [ilegible]","me gusta escuchar/desahogar para desestresarme, incluso me gusta música mientras lo hago",se lo digo a mi mamá para saber desde su perspectiva del día qué puedo hacer,"decepcionarme a mí misma y a mis papás, sabiendo el gran esfuerzo que hacen por mí",leo o escucho música,sueño tener la gran parte de mi carrera hecha,"tener mi auto propio y comprarme mi casa para mí y para mis papás, y viajar por todo el mundo","asusta fracasar, pero sé que lo intentaré mil veces hasta que lo logre","lo sensible y negativa que soy, al saber que puedo hacer más pero me niego a creer en mí misma",una chica con miedos en el futuro y pensando en cada día ser mejor…,"mi forma de ser, considero que es original"
16,escucho música y veo series,no existen,una persona,que soy alegre,me veo linda,es un lugar donde puedo aprender cosas,importante para mi futuro,son divertidos,me divierte,no se me pasa fácilmente,como chocolate y escucho Bad Bunny,me siento mal,que mis padres se mueran,veo mucho tiktok,estaré en Canadá,ser neurocirujana,preocupa,sería mi paciencia,me alegro,que soy muy resentida
17,ayudo en los deberes,son muy amores,dormilona,mis ojos,lloro,es mi segundo hogar,un derecho,son divertidos,me siento incómoda,miro mal a todos,lloro,me frustro,ver a alguien morir (que yo aprecio),me pongo pensativa,soy una abogada y viajo a todo el mundo con mi hermana y mi tío,ser un ejemplo a seguir,asusta un poco,el enojo,siento un poco de tristeza,carismática y seria
18,duermo/descanso,"solo tengo uno, él trabaja",alegre,mi sonrisa,veo mis imperfecciones,es divertido,cansado,son chéveres,me siento acompañada,no hablo y solo estoy seria,lloro,no puedo dejar de pensar en ello todo el día,perder a mi familia,escucho música,me gustaría vivir mejor,"vivir tranquila, junto a mi mamá y hermano",asusta,sería ser más fuerte y no sensible,pienso que soy muy generosa y alegre,lo que dejo en cada persona
19,bailo,viven lejos,responsable,mi forma de pensar,me veo linda,es un lugar seguro,aburrido,son buenos,me divierto,soy muy explosiva,lloro,me siento mal,las alturas,leo un libro,voy a estar trabajando y viajando,viajar por el mundo,asusta,sería mi cuerpo y mi inseguridad,me alegro,ser amable y responsable
20,ayudo a mi mamá,son muy molestosos,una persona muy relajada,que hago mejor las cosas bajo presión,pienso en lo que va a ser de mi día,es una forma de aprender y conocer gente,tedioso,son graciosos,me divierto,salgo a pasear,abrazo a mis mascotas,me pongo a pensarlo mucho,quedarme solo,me pongo a ver películas,me veo en una universidad,lograr tener mi propia casa,da miedo,sería que dejo todo a última hora,soy una persona que no sabe lo que quiere,los videojuegos
21,duermo,son los mejores,exótico,los ojos,digo que guapo soy,es mi segunda casa,una inversión,son divertidos,trato de socializar,respiro,duermo,me quedo en silencio,las alturas,veo el mundial,seré exitoso,ser el orgullo de mi madre,preocupa,no lo haría,me autoalago,mi personalidad
22,descanso,son mi familia,guapo,mi carita,veo mi reflejo,es mi segunda casa,bueno,son mis amigos,convivo,frunzo el ceño,me siento mal,me siento mal,las cucarachas,pienso,han pasado 5 años,soñar en una almohada bien cómoda,espera,sería,pienso,el amor que yo dejo en cada persona
